#LIBRARY    JENDL/AN-2005
#REACTION   BE-9(HE4,N`)C-12-L0,SIG
#NUCLEUS    Be-9
#MF         3
#MT         50
#EN-MIN     200000
#EN-MAX     1.5e+07
#E,eV        Sig,b        Interpolation
 3.32E+06    0.026235     Lin-Lin
 3.34E+06    0.027339     Lin-Lin
 3.36E+06    0.029173     Lin-Lin
 3.38E+06    0.031526     Lin-Lin
 3.4E+06     0.034181     Lin-Lin
 3.42E+06    0.036918     Lin-Lin
 3.44E+06    0.039526     Lin-Lin
 3.46E+06    0.041916     Lin-Lin
 3.48E+06    0.044127     Lin-Lin
 3.5E+06     0.0462       Lin-Lin
 3.6E+06     0.055988     Lin-Lin
 3.64E+06    0.060296     Lin-Lin
 3.66E+06    0.062644     Lin-Lin
 3.68E+06    0.065159     Lin-Lin
 3.7E+06     0.067872     Lin-Lin
 3.72E+06    0.070809     Lin-Lin
 3.74E+06    0.073966     Lin-Lin
 3.78E+06    0.08076      Lin-Lin
 3.82E+06    0.088031     Lin-Lin
 3.84E+06    0.092092     Lin-Lin
 3.86E+06    0.096685     Lin-Lin
 3.88E+06    0.102        Lin-Lin
 3.9E+06     0.10825      Lin-Lin
 3.92E+06    0.11652      Lin-Lin
 3.94E+06    0.12768      Lin-Lin
 3.96E+06    0.13805      Lin-Lin
 3.98E+06    0.13555      Lin-Lin
 4E+06       0.1217       Lin-Lin
 4.02E+06    0.11755      Lin-Lin
 4.04E+06    0.11405      Lin-Lin
 4.06E+06    0.11435      Lin-Lin
 4.08E+06    0.11893      Lin-Lin
 4.1E+06     0.12465      Lin-Lin
 4.12E+06    0.12657      Lin-Lin
 4.16E+06    0.12564      Lin-Lin
 4.18E+06    0.12628      Lin-Lin
 4.2E+06     0.12662      Lin-Lin
 4.22E+06    0.12567      Lin-Lin
 4.24E+06    0.124        Lin-Lin
 4.26E+06    0.12258      Lin-Lin
 4.3E+06     0.12119      Lin-Lin
 4.32E+06    0.11891      Lin-Lin
 4.36E+06    0.11141      Lin-Lin
 4.38E+06    0.10905      Lin-Lin
 4.4E+06     0.10904      Lin-Lin
 4.42E+06    0.11012      Lin-Lin
 4.44E+06    0.11057      Lin-Lin
 4.46E+06    0.10963      Lin-Lin
 4.48E+06    0.1076       Lin-Lin
 4.5E+06     0.10477      Lin-Lin
 4.56E+06    0.094659     Lin-Lin
 4.58E+06    0.091553     Lin-Lin
 4.6E+06     0.088766     Lin-Lin
 4.62E+06    0.086378     Lin-Lin
 4.64E+06    0.084468     Lin-Lin
 4.66E+06    0.083029     Lin-Lin
 4.68E+06    0.081968     Lin-Lin
 4.7E+06     0.08119      Lin-Lin
 4.76E+06    0.079636     Lin-Lin
 4.78E+06    0.079289     Lin-Lin
 4.8E+06     0.079178     Lin-Lin
 4.86E+06    0.079425     Lin-Lin
 4.88E+06    0.079165     Lin-Lin
 4.9E+06     0.078657     Lin-Lin
 4.94E+06    0.077127     Lin-Lin
 5E+06       0.074408     Lin-Lin
 5.06E+06    0.072219     Lin-Lin
 5.16E+06    0.069084     Lin-Lin
 5.22E+06    0.066745     Lin-Lin
 5.28E+06    0.063929     Lin-Lin
 5.34E+06    0.060675     Lin-Lin
 5.38E+06    0.058155     Lin-Lin
 5.4E+06     0.056728     Lin-Lin
 5.44E+06    0.053532     Lin-Lin
 5.5E+06     0.048582     Lin-Lin
 5.52E+06    0.047094     Lin-Lin
 5.54E+06    0.045772     Lin-Lin
 5.56E+06    0.044666     Lin-Lin
 5.58E+06    0.043825     Lin-Lin
 5.6E+06     0.04325      Lin-Lin
 5.62E+06    0.042893     Lin-Lin
 5.64E+06    0.042703     Lin-Lin
 5.68E+06    0.042627     Lin-Lin
 5.7E+06     0.04264      Lin-Lin
 5.74E+06    0.04253      Lin-Lin
 5.78E+06    0.042153     Lin-Lin
 5.86E+06    0.040978     Lin-Lin
 5.92E+06    0.040128     Lin-Lin
 6E+06       0.039155     Lin-Lin
 6.04E+06    0.038508     Lin-Lin
 6.08E+06    0.03761      Lin-Lin
 6.14E+06    0.035868     Lin-Lin
 6.2E+06     0.03408      Lin-Lin
 6.24E+06    0.0331       Lin-Lin
 6.28E+06    0.032341     Lin-Lin
 6.4E+06     0.030531     Lin-Lin
 6.52E+06    0.02842      Lin-Lin
 6.56E+06    0.02782      Lin-Lin
 6.6E+06     0.027367     Lin-Lin
 6.66E+06    0.026924     Lin-Lin
 6.78E+06    0.026318     Lin-Lin
 6.84E+06    0.025846     Lin-Lin
 6.9E+06     0.025163     Lin-Lin
 6.96E+06    0.024327     Lin-Lin
 7.14E+06    0.02152      Lin-Lin
 7.2E+06     0.020692     Lin-Lin
 7.24E+06    0.020232     Lin-Lin
 7.28E+06    0.01989      Lin-Lin
 7.3E+06     0.019776     Lin-Lin
 7.32E+06    0.019708     Lin-Lin
 7.34E+06    0.01969      Lin-Lin
 7.36E+06    0.019729     Lin-Lin
 7.38E+06    0.019828     Lin-Lin
 7.4E+06     0.019994     Lin-Lin
 7.42E+06    0.020231     Lin-Lin
 7.44E+06    0.020545     Lin-Lin
 7.46E+06    0.020942     Lin-Lin
 7.48E+06    0.02142      Lin-Lin
 7.5E+06     0.021974     Lin-Lin
 7.52E+06    0.022599     Lin-Lin
 7.54E+06    0.023289     Lin-Lin
 7.56E+06    0.024038     Lin-Lin
 7.6E+06     0.025692     Lin-Lin
 7.64E+06    0.027514     Lin-Lin
 7.7E+06     0.030485     Lin-Lin
 7.76E+06    0.033667     Lin-Lin
 7.86E+06    0.039224     Lin-Lin
 8E+06       0.037798     Lin-Lin
 8.2E+06     0.033194     Lin-Lin
 8.4E+06     0.034148     Lin-Lin
 8.6E+06     0.033008     Lin-Lin
 8.8E+06     0.030852     Lin-Lin
 9.2E+06     0.026232     Lin-Lin
 9.4E+06     0.024474     Lin-Lin
 9.6E+06     0.023305     Lin-Lin
 9.8E+06     0.022507     Lin-Lin
 1E+07       0.022028     Lin-Lin
 1.02E+07    0.021806     Lin-Lin
 1.04E+07    0.021771     Lin-Lin
 1.08E+07    0.021897     Lin-Lin
 1.1E+07     0.021926     Lin-Lin
 1.12E+07    0.021861     Lin-Lin
 1.14E+07    0.021674     Lin-Lin
 1.16E+07    0.02134      Lin-Lin
 1.18E+07    0.020865     Lin-Lin
 1.2E+07     0.020278     Lin-Lin
 1.22E+07    0.019604     Lin-Lin
 1.24E+07    0.018871     Lin-Lin
 1.28E+07    0.017286     Lin-Lin
 1.32E+07    0.015585     Lin-Lin
 1.4E+07     0.01196      Lin-Lin
 1.42E+07    0.011079     Lin-Lin
 1.44E+07    0.010223     Lin-Lin
 1.46E+07    0.0094009    Lin-Lin
 1.48E+07    0.0086209    Lin-Lin
 1.5E+07     0.0078874    Lin-Lin
#END
