101	91
-0.951057	0	128.58	126.22	121.51	119.06	118.3	119.09	124.48	133.52	159.63	269.91	1282.6	702.19	271.78	190.47	161.59	147.73	139.77	130.94	126	122.52	119.76	117.38	115.26	113.26	111.32	109.53	107.81	106.19	104.68	103.36	102.2	101.2	100.47	100.03	99.553	100.22	100.92	102.2	104.02	106.59	109.98	114.32	119.72	126.2	134.19	143.71	154.69	167.55	182.37	199.09	217.2	237.24	258.38	279.72	300.99	320.97	339.02	354.17	365.49	373.42	377.45	378.15	375.84	371.14	364.68	357.05	348.7	340.06	331.43	323.05	313.13	307.38	300.3	293.73	287.65	282.04	276.88	272.11	267.66	263.48	259.53	254.15	252.24	248.76	245.42	242.14	238.87	235.63	232.42	229.19	226.01	222.8	219.58	216.37	213.15	209.96	206.75	203.56	200.35	197.22
-0.939693	0	129.42	127	122.14	119.57	118.69	119.33	124.38	133.01	158.05	264.18	1241.4	683.39	267.36	188.64	160.64	147.18	139.44	130.84	126.01	122.61	119.91	117.57	115.5	113.55	111.65	109.91	108.22	106.65	105.19	103.9	102.78	101.82	101.12	100.71	100.25	100.93	101.62	102.88	104.66	107.16	110.46	114.66	119.89	126.15	133.86	143.03	153.59	165.93	180.14	196.15	213.45	232.57	252.71	272.99	293.15	312.03	329.04	343.24	353.76	361.03	364.59	364.99	362.52	357.81	351.45	344.01	335.89	327.53	319.21	311.13	301.62	296.06	289.26	282.95	277.1	271.7	266.74	262.13	257.84	253.79	249.94	244.73	242.83	239.42	236.14	232.91	229.69	226.49	223.32	220.12	216.97	213.79	210.61	207.42	204.24	201.08	197.9	194.75	191.58	188.49
-0.927184	0	130.36	127.87	122.85	120.14	119.13	119.6	124.3	132.48	156.38	258.07	1197.4	663.26	262.63	186.68	159.62	146.59	139.09	130.73	126.02	122.7	120.06	117.77	115.75	113.84	111.99	110.3	108.66	107.13	105.72	104.47	103.39	102.46	101.8	101.41	100.97	101.65	102.33	103.57	105.29	107.72	110.92	114.98	120.02	126.04	133.45	142.24	152.35	164.15	177.7	192.96	209.4	227.55	246.61	265.77	284.77	302.5	318.4	331.6	341.29	347.88	350.94	351.02	348.41	343.69	337.44	330.2	322.35	314.29	306.28	298.54	289.45	284.11	277.6	271.56	265.97	260.79	256.03	251.61	247.46	243.55	239.83	234.8	232.91	229.57	226.36	223.18	220.01	216.86	213.73	210.57	207.45	204.31	201.16	198.01	194.87	191.74	188.6	185.49	182.37	179.32
-0.913545	0	131.4	128.84	123.63	120.78	119.62	119.91	124.23	131.94	154.65	251.66	1150.9	641.95	257.62	184.6	158.53	145.96	138.71	130.61	126.03	122.8	120.22	117.98	116.01	114.15	112.34	110.7	109.11	107.62	106.25	105.05	104.01	103.12	102.49	102.12	101.69	102.37	103.04	104.24	105.92	108.27	111.35	115.25	120.09	125.86	132.95	141.34	150.97	162.19	175.06	189.52	205.07	222.19	240.14	258.13	275.91	292.44	307.2	319.37	328.21	334.09	336.65	336.41	333.66	328.94	322.81	315.79	308.22	300.47	292.81	285.41	276.77	271.65	265.45	259.7	254.37	249.43	244.88	240.64	236.67	232.9	229.3	224.46	222.58	219.33	216.19	213.08	209.96	206.86	203.77	200.66	197.58	194.48	191.37	188.26	185.16	182.08	178.99	175.92	172.85	169.85
-0.898794	0	132.55	129.9	124.5	121.49	120.17	120.27	124.2	131.42	152.87	245.01	1102.4	619.65	252.36	182.42	157.4	145.31	138.31	130.48	126.03	122.89	120.37	118.19	116.27	114.46	112.7	111.1	109.55	108.11	106.79	105.63	104.63	103.77	103.17	102.82	102.39	103.08	103.73	104.9	106.51	108.77	111.73	115.47	120.1	125.6	132.34	140.31	149.45	160.07	172.23	185.85	200.48	216.55	233.34	250.12	266.66	281.97	295.56	306.67	314.63	319.81	321.87	321.31	318.42	313.72	307.73	300.93	293.66	286.25	278.94	271.9	263.72	258.84	252.96	247.51	242.45	237.76	233.42	229.38	225.57	221.96	218.5	213.85	211.99	208.83	205.76	202.71	199.65	196.61	193.57	190.51	187.48	184.43	181.37	178.3	175.25	172.21	169.18	166.16	163.14	160.2
-0.882948	0	133.81	131.08	125.45	122.27	120.78	120.68	124.2	130.91	151.08	238.17	1052.3	596.54	246.91	180.15	156.22	144.62	137.9	130.34	126.04	122.98	120.53	118.4	116.53	114.76	113.05	111.49	110	108.6	107.32	106.2	105.24	104.41	103.83	103.5	103.08	103.76	104.39	105.51	107.05	109.22	112.04	115.61	120.01	125.23	131.62	139.16	147.78	157.78	169.21	181.98	195.66	210.65	226.27	241.82	257.09	271.16	283.57	293.62	300.71	305.18	306.74	305.88	302.87	298.19	292.35	285.8	278.83	271.77	264.83	258.16	250.45	245.81	240.26	235.11	230.33	225.89	221.78	217.94	214.31	210.85	207.52	203.08	201.24	198.17	195.18	192.21	189.21	186.23	183.25	180.25	177.27	174.27	171.26	168.25	165.25	162.27	159.29	156.33	153.37	150.5
-0.866025	0	135.19	132.36	126.49	123.12	121.46	121.14	124.24	130.44	149.28	231.23	1001	572.78	241.29	177.82	155	143.92	137.47	130.2	126.03	123.07	120.68	118.61	116.78	115.06	113.39	111.88	110.43	109.07	107.83	106.75	105.82	105.02	104.46	104.14	103.73	104.4	104.99	106.07	107.54	109.59	112.28	115.66	119.82	124.76	130.78	137.87	145.96	155.33	166	177.91	190.63	204.53	218.96	233.28	247.28	260.1	271.33	280.33	286.55	290.33	291.41	290.26	287.14	282.51	276.84	270.54	263.89	257.19	250.62	244.33	237.1	232.71	227.49	222.65	218.15	213.97	210.09	206.45	203	199.69	196.51	192.28	190.46	187.48	184.58	181.68	178.76	175.85	172.93	169.99	167.07	164.13	161.18	158.23	155.29	152.37	149.45	146.56	143.67	140.86
-0.848048	0	136.7	133.75	127.62	124.06	122.2	121.67	124.33	130.01	147.52	224.25	948.83	548.56	235.56	175.43	153.76	143.2	137.03	130.05	126.03	123.15	120.82	118.8	117.03	115.35	113.72	112.25	110.84	109.52	108.32	107.27	106.37	105.6	105.06	104.74	104.32	104.98	105.54	106.55	107.94	109.88	112.42	115.6	119.53	124.16	129.81	136.43	143.98	152.71	162.63	173.67	185.42	198.22	211.47	224.56	237.3	248.89	258.96	266.92	272.3	275.4	276.02	274.61	271.4	266.83	261.34	255.31	248.99	242.65	236.47	230.56	223.81	219.68	214.79	210.26	206.04	202.12	198.46	195.02	191.76	188.61	185.58	181.55	179.76	176.89	174.08	171.26	168.42	165.58	162.73	159.85	156.99	154.12	151.24	148.35	145.48	142.63	139.78	136.96	134.14	131.41
-0.829038	0	138.33	135.27	128.85	125.07	123.02	122.25	124.48	129.64	145.81	217.28	896.31	524.04	229.74	173.01	152.5	142.46	136.59	129.9	126.02	123.22	120.96	118.99	117.26	115.62	114.03	112.6	111.22	109.94	108.77	107.76	106.88	106.13	105.6	105.29	104.85	105.48	106	106.95	108.25	110.07	112.45	115.43	119.1	123.42	128.69	134.85	141.86	149.94	159.1	169.26	180.05	191.77	203.85	215.73	227.22	237.61	246.54	253.5	258.07	260.53	260.72	259.06	255.79	251.3	246	240.26	234.28	228.31	222.51	216.98	210.71	206.83	202.28	198.06	194.12	190.45	187.02	183.79	180.7	177.72	174.83	171.02	169.26	166.49	163.77	161.04	158.28	155.52	152.75	149.95	147.16	144.36	141.55	138.74	135.94	133.16	130.39	127.64	124.91	122.26
-0.809017	0	140.09	136.91	130.19	126.18	123.91	122.91	124.7	129.34	144.17	210.4	843.79	499.4	223.88	170.57	151.22	141.73	136.14	129.74	126	123.29	121.09	119.17	117.47	115.88	114.32	112.92	111.58	110.33	109.19	108.2	107.34	106.6	106.08	105.76	105.31	105.91	106.38	107.26	108.46	110.15	112.36	115.14	118.54	122.55	127.42	133.12	139.58	147.01	155.42	164.72	174.56	185.21	196.14	206.83	217.12	226.34	234.18	240.18	243.98	245.84	245.63	243.76	240.45	236.06	230.97	225.52	219.88	214.29	208.87	203.73	197.92	194.3	190.08	186.16	182.5	179.08	175.88	172.85	169.94	167.13	164.38	160.78	159.05	156.39	153.77	151.13	148.46	145.78	143.09	140.37	137.66	134.94	132.21	129.47	126.76	124.06	121.38	118.71	116.07	113.5
